participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality,experiment_date,date_of_birth,experimenter,notes,exclude,exclusion_reason,exact_age
12,exp_2_child,4,11/04/2025,09:56:40,0,familiar_word_condition,carrots,carrot_carrot_4_0.png,11,carrots,1,10911,4,0,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,0,familiar_word_condition,carrots,carrot_carrot_2_0.png,10,carrots,2,18507,2,0,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,1,familiar_word_condition,apples,apple_apple_4_0.png,10,apples,1,3897,4,0,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,1,familiar_word_condition,apples,apple_apple_2_0.png,6,apples,2,7582,2,0,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,2,familiar_word_condition,cups,cup_teacup_2_1.png,9,cups,1,3598,2,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,2,familiar_word_condition,cups,cup_teacup_1_1.png,6,cups,2,5491,1,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,3,familiar_word_condition,spoons,spoon_teaspoon_1_1.png,10,spoons,1,3485,1,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,3,familiar_word_condition,spoons,spoon_teaspoon_3_1.png,1,spoons,2,6588,3,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,4,familiar_word_condition,flowers,flower_round_1_1.png,10,flowers,1,3900,1,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,4,familiar_word_condition,flowers,flower_round_3_1.png,9,flowers,2,4831,3,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,5,familiar_word_condition,leaves,leaf_oak_2_1.png,11,leaves,1,3294,2,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,5,familiar_word_condition,leaves,leaf_droplet_1_1.png,10,leaves,2,4129,1,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,6,familiar_word_condition,hats,hat_ballcap_1_1.png,10,hats,1,4474,1,1,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
12,exp_2_child,4,11/04/2025,09:56:40,6,familiar_word_condition,hats,hat_party_1_2.png,9,hats,2,5298,1,2,11/4/2025,08/01/2025,CB,NA,FALSE,NA,3.1219191587249426
